"filename", "language", "YAML", "Dockerfile", "JSON", "Ignore", "JavaScript", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/src/index.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 3, 18
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/src/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/src/serviceWorker.js", "JavaScript", 0, 0, 0, 0, 98, 0, 0, 0, 0, 31, 13, 142
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/src/setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/Dockerfile", "Dockerfile", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/babel.config.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/package-lock.json", "JSON", 0, 0, 3886, 0, 0, 0, 0, 0, 0, 0, 1, 3887
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/package.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/src/controllers/AdminUserController.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 13, 40
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/src/db/database.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/src/index.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/src/models/AdminUser.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/src/routes/AdminRoutes.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 5, 16
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/src/server.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 6, 20
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/src/utils/hashPassword.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/shipping-service/src/utils/passwordCompareSync.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/Dockerfile", "Dockerfile", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/babel.config.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/package-lock.json", "JSON", 0, 0, 3886, 0, 0, 0, 0, 0, 0, 0, 1, 3887
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/package.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/controllers/BasketController.js", "JavaScript", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 25, 99
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/controllers/BillingController.js", "JavaScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 13, 49
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/controllers/OrderController.js", "JavaScript", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 26, 153
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/controllers/ProductController.js", "JavaScript", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 25, 144
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/db/database.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/index.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/models/Basket.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/models/Billing.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/models/Order.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 3, 44
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/models/Product.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 3, 47
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/routes/BasketRoutes.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/routes/BillingRoutes.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/routes/OrderRoutes.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/routes/ProductRoutes.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/store-service/src/server.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 6, 26
